iteration,time,error
747,0.261716,0.00015599
748,0.262001,0.000194717
749,0.262252,0.000166927
750,0.262493,0.000177047
751,0.262704,0.000165996
752,0.262916,0.000154558
753,0.26316,0.000245634
754,0.263491,0.000138296
755,0.263721,0.000274276
756,0.263949,0.000154703
757,0.264207,0.000168906
758,0.264497,0.000141099
759,0.264691,0.000266158
760,0.264875,0.000149598
761,0.265068,0.000181305
762,0.2653,0.000181667
763,0.265522,0.000146067
764,0.265746,0.000273092
765,0.265991,0.000131211
766,0.266228,0.00016719
767,0.266457,0.00017202
768,0.266646,0.00014981
769,0.266879,0.000190993
770,0.267193,0.000163663
771,0.267374,0.000167931
772,0.267552,0.000156759
773,0.267786,0.000201607
774,0.268061,0.000134786
775,0.268283,0.000208595
776,0.268497,0.000156689
777,0.26869,0.000178544
778,0.268915,0.000150941
779,0.269148,0.000157518
780,0.269378,0.000154292
781,0.269572,0.000169787
782,0.269784,0.000168708
783,0.270012,0.000164044
784,0.270249,0.000155341
785,0.270496,0.000144238
786,0.270704,0.000178628
787,0.270972,0.000177401
788,0.271293,0.000152565
789,0.27159,0.000261958
790,0.271806,0.000126799
791,0.272074,0.000267213
792,0.272394,0.000151638
793,0.272606,0.000158811
794,0.272799,0.000150644
795,0.273043,0.000153738
796,0.273279,0.000150074
797,0.273495,0.000161228
798,0.273698,0.00014307
799,0.273899,0.000157776
800,0.27415,0.000174418
801,0.274337,0.000143377
802,0.274513,0.000181002
803,0.274696,0.000152584
804,0.274948,0.000176848
805,0.275187,0.000151348
806,0.275387,0.000170977
807,0.275574,0.000146819
808,0.275749,0.000165864
809,0.275969,0.000167207
810,0.276194,0.000148828
811,0.276428,0.000141835
812,0.276619,0.000230569
813,0.276818,0.000141458
814,0.277059,0.00016412
815,0.277282,0.000132879
816,0.277468,0.000182827
817,0.277646,0.000160228
818,0.277844,0.000153185
819,0.278108,0.000153598
820,0.278331,0.000144594
821,0.278532,0.000152507
822,0.278714,0.000143545
823,0.278948,0.000180297
824,0.279171,0.00014808
825,0.279389,0.00020991
826,0.279582,0.000138369
827,0.279773,0.00015404
828,0.279997,0.000156383
829,0.280217,0.000176357
830,0.280444,0.000148858
831,0.280659,0.000213307
832,0.280886,0.00013674
833,0.281129,0.000177731
834,0.281365,0.000123724
835,0.281585,0.000174237
836,0.2818,0.000136566
837,0.282047,0.000220689
838,0.282259,0.000134964
839,0.282439,0.000134384
840,0.282614,0.000190677
841,0.282819,0.000134784
842,0.283069,0.000173083
843,0.283282,0.000138563
844,0.283463,0.000155084
845,0.283695,0.000147344
846,0.283944,0.000165513
847,0.28417,0.000139776
848,0.284364,0.000151186
849,0.284553,0.000155133
850,0.284766,0.000148098
851,0.285007,0.000140665
852,0.285235,0.000150307
853,0.28547,0.000139358
854,0.285693,0.00015638
855,0.285928,0.000145735
856,0.286148,0.000139823
857,0.286344,0.000183294
858,0.286533,0.000131136
859,0.286765,0.000137027
860,0.287001,0.000150881
861,0.287242,0.000150642
862,0.287433,0.000162665
863,0.287624,0.000144561
864,0.287874,0.000202683
865,0.288127,0.000124105
866,0.288319,0.000180585
867,0.288537,0.00012486
868,0.288768,0.00018744
869,0.289,0.000154172
870,0.28922,0.000138518
871,0.289412,0.00015907
872,0.289606,0.000144028
873,0.289829,0.000155801
874,0.290063,0.000139642
875,0.290285,0.000129742
876,0.290478,0.000151965
877,0.29066,0.000137012
878,0.290902,0.000138291
879,0.291127,0.000154188
880,0.291354,0.000149506
881,0.29161,0.000131728
882,0.291872,0.000158033
883,0.292112,0.00014576
884,0.292351,0.000128245
885,0.292603,0.000158711
886,0.292837,0.000137812
887,0.293148,0.000191359
888,0.293477,0.00012862
889,0.293756,0.000142048
890,0.29408,0.000154029
891,0.294413,0.00012685
892,0.294692,0.000154381
893,0.294984,0.000144862
894,0.295271,0.000134948
895,0.295559,0.0001777
896,0.295839,0.000138441
897,0.296125,0.000143904
898,0.296406,0.000131237
899,0.296704,0.000154619
900,0.296978,0.000130944
901,0.297262,0.000159622
902,0.297555,0.000134783
903,0.297888,0.000170103
904,0.298173,0.00012156
905,0.29846,0.000238519
906,0.298752,0.000120726
907,0.299141,0.000144467
908,0.29944,0.000157812
909,0.299791,0.000129418
910,0.300219,0.000198769
911,0.300621,0.000112842
912,0.301044,0.000152418
913,0.301479,0.000146829
914,0.301895,0.000126341
915,0.302268,0.000127177
916,0.30264,0.000168182
917,0.30304,0.000128561
918,0.303417,0.000140932
919,0.303735,0.000127335
920,0.304094,0.000144728
921,0.304493,0.000131074
922,0.304866,0.000117341
923,0.305263,0.000144114
924,0.305608,0.000144129
925,0.305961,0.000135128
926,0.306273,0.000138846
927,0.306571,0.000132976
928,0.306861,0.000136445
929,0.307154,0.00015331
930,0.30746,0.000151012
931,0.307737,0.000127977
932,0.308025,0.000136868
933,0.308309,0.000148899
934,0.308589,0.0001444
935,0.308898,0.000118186
936,0.309131,0.000122899
937,0.309352,0.000141403
938,0.309526,0.000124023
939,0.309722,0.000175018
940,0.309951,0.000120761
941,0.310179,0.000169056
942,0.310367,0.000117997
943,0.310553,0.000162148
944,0.310767,0.000120842
945,0.311028,0.000161457
946,0.311316,0.000127418
947,0.311536,0.000159014
948,0.311756,0.000115975
949,0.311985,0.000139941
950,0.312161,0.000136106
951,0.312338,0.00014395
952,0.312569,0.000115745
953,0.31281,0.000134651
954,0.313009,0.000153802
955,0.313187,0.000120832
956,0.313391,0.000147999
957,0.313623,0.000120678
958,0.313861,0.000130618
959,0.314088,0.000130034
960,0.314314,0.000147112
961,0.314492,0.0001296
962,0.314673,0.000154895
963,0.314909,0.000111588
964,0.315149,0.000131448
965,0.315338,0.000130026
966,0.315515,0.000146958
967,0.315707,0.000131158
968,0.315973,0.000135317
969,0.316195,0.000134713
970,0.316382,0.00013606
971,0.316561,0.000120319
972,0.316777,0.000128567
973,0.317006,0.000129669
974,0.317227,0.000171737
975,0.317425,0.000118847
976,0.317607,0.000153672
977,0.317834,0.000120316
978,0.318053,0.000144838
979,0.318266,0.00013051
980,0.318437,0.000131134
981,0.318631,0.000139259
982,0.318871,0.000112397
983,0.319114,0.000136882
984,0.319304,0.000124752
985,0.319482,0.000133524
986,0.319678,0.000119773
987,0.319917,0.000160738
988,0.320128,0.000119912
989,0.320315,0.000136207
990,0.320488,0.00012604
991,0.320709,0.000123248
